[Sheet: LOAN ANALYSIS]

 Unnamed: 0 LOAN ANALYSIS WORKSHEET  Unnamed: 2    Unnamed: 3  Unnamed: 4      Unnamed: 5  Unnamed: 6  Unnamed: 7   Unnamed: 8  Unnamed: 9  Unnamed: 10                                                      Unnamed: 11
        NaN           LOAN ANALYSIS         NaN           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN Rate slicer to filter table data based on Rates is in this cell.
        NaN           INTEREST RATE         NaN          0.05         NaN MONTHLY PAYMENT         NaN         NaN   106.065515         NaN          NaN                                                              NaN
        NaN           YEARS OF LOAN         NaN            10         NaN   TOTAL PAYMENT         NaN         NaN 12727.861829         NaN          NaN                                                              NaN
        NaN             LOAN AMOUNT         NaN         10000         NaN  TOTAL INTEREST         NaN         NaN  2727.861829         NaN          NaN                                                              NaN
        NaN            PAYMENTS DUE         NaN End of Period         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                     NaN       YEARS           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                    RATE           3             5   10.000000              12   15.000000   20.000000    25.000000   30.000000          NaN                                                              NaN
        NaN                    0.02  286.425787    175.277601   92.013454       78.168369   64.350870   50.588334    42.385434   36.961947          NaN                                                              NaN
        NaN                  0.0225  287.518475    176.373448   93.137372       79.305498   65.508477   51.780829    43.613070   38.224610          NaN                                                              NaN
        NaN                   0.025  288.613757    177.473616   94.269902       80.452938   66.678921   52.990289    44.861673   39.512090          NaN                                                              NaN
        NaN                  0.0275  289.711631    178.578103   95.411031        81.61067   67.862164   54.216631    46.131086   40.824118          NaN                                                              NaN
        NaN                    0.03  290.812096    179.686907   96.560745       82.778669   69.058164   55.459760    47.421131   42.160403          NaN                                                              NaN
        NaN                  0.0325  291.915152    180.800023   97.719029       83.956912   70.266877   56.719576    48.731623   43.520632          NaN                                                              NaN
        NaN                   0.035  293.020797     181.91745   98.885867       85.145374   71.488254   57.995972    50.062357   44.904469          NaN                                                              NaN
        NaN                  0.0375   294.12903    183.039183  100.061243       86.344025   72.722244   59.288831    51.413120   46.311559          NaN                                                              NaN
        NaN                    0.04   295.23985    184.165221  101.245138       87.552837   73.968793   60.598033    52.783684   47.741530          NaN                                                              NaN
        NaN                  0.0425  296.353255    185.295558  102.437533       88.771778   75.227841   61.923447    54.173810   49.193989          NaN                                                              NaN
        NaN                   0.045  297.469245    186.430192  103.638409       90.000816   76.499329   63.264938    55.583248   50.668531          NaN                                                              NaN
        NaN                  0.0475  298.587817     187.56912  104.847743       91.239916   77.783192   64.622363    57.011736   52.164734          NaN                                                              NaN
        NaN                    0.05  299.708971    188.712336  106.065515       92.489041   79.079363   65.995574    58.459004   53.682162          NaN                                                              NaN
