[Sheet: Wedding budget]

|   Unnamed: 0 | Unnamed: 1                 | Unnamed: 2   | Unnamed: 3   | Unnamed: 4   |   Unnamed: 5 | Unnamed: 6                      | Unnamed: 7   | Unnamed: 8   | Unnamed: 9   |   Unnamed: 10 |   Unnamed: 11 | Unnamed: 12   | Unnamed: 13           | Unnamed: 14   | Unnamed: 15   | Unnamed: 16   | Unnamed: 17   |
|--------------|----------------------------|--------------|--------------|--------------|--------------|---------------------------------|--------------|--------------|--------------|---------------|---------------|---------------|-----------------------|---------------|---------------|---------------|---------------|
|          nan | PARTY BUDGET               | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | SUMMARY                    | ESTIMATED    | ACTUAL       | OVER/UNDER   |          nan | SUMMARY OF ACTUAL EXPENSES      | nan          | nan          | nan          |           nan |           nan | Rank          | Category              | Estimated     | Actual        | Ranking Value | Ref           |
|          nan | Reception                  | 5500         | 5300         | -200         |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 10            | Apparel               | 0             | 0             | 0.0006        | 1             |
|          nan | Photography                | 2950         | 2950         | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 9             | Decorations           | 0             | 0             | 0.0007        | 2             |
|          nan | Transportation             | 1450         | 1400         | -50          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 4             | Gifts                 | 1400          | 1300          | 1300.0008     | 3             |
|          nan | Gifts                      | 1400         | 1300         | -100         |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 6             | Flowers               | 800           | 800           | 800.0009      | 4             |
|          nan | Music                      | 1200         | 1250         | 50           |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 5             | Music                 | 1200          | 1250          | 1250.001      | 5             |
|          nan | Flowers                    | 800          | 800          | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 2             | Photography           | 2950          | 2950          | 2950.0011     | 6             |
|          nan | Stationery / Printing      | 400          | 400          | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 1             | Reception             | 5500          | 5300          | 5300.0012     | 7             |
|          nan | Other Expenses             | 300          | 300          | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 7             | Stationery / Printing | 400           | 400           | 400.0013      | 8             |
|          nan | Decorations                | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 3             | Transportation        | 1450          | 1400          | 1400.0014     | 9             |
|          nan | Apparel                    | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | 8             | Other Expenses        | 300           | 300           | 300.0015      | 10            |
|          nan | Total budget               | 14000        | 13700        | 10           |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
